Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,R1D1U1,448.225000,-,5.000000,TSQL,141.3,141.3,023,NN,NFM,5.00,,Rocky Mountain Ham,,,,
2,R1D1V1,146.985000,-,0.600000,TSQL,100.0,100.0,023,NN,NFM,5.00,,Shriners RadOps,,,,
3,R1D1SV,147.435000,,0.000000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
4,R1D1SU,445.625000,,0.000000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,COPR-1,447.525000,-,5.000000,TSQL,156.7,156.7,023,NN,NFM,5.00,,EmComm,,,,
8,COPR-2,447.525000,-,5.000000,TSQL,186.2,186.2,023,NN,NFM,5.00,,EmComm,,,,
9,SKYWRN,146.940000,-,0.600000,TSQL,103.5,103.5,023,NN,NFM,5.00,,Rocky Mtn Radio League,,,,
10,R1D2V1,146.640000,-,0.600000,TSQL,100.0,100.0,023,NN,NFM,5.00,,Denver Radio League,,,,
11,R1D2V2,146.880000,-,0.600000,TSQL,100.0,100.0,023,NN,NFM,5.00,,Denver Radio League,,,,
12,R1D2U1,449.225000,-,5.000000,TSQL,141.3,141.3,023,NN,NFM,5.00,,Rocky Mtn Ham,,,,
13,R1D2U2,448.225000,-,5.000000,TSQL,141.3,141.3,023,NN,NFM,5.00,,Rocky Mtn Ham,,,,
14,R1D2SV,147.555000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,R1D2SV,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,R1D2SU,446.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,R1D2SU,446.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,R1D4V1,145.490000,-,0.600000,TSQL,100.0,100.0,023,NN,NFM,5.00,,Denver Radio Club,,,,
19,R1D4V2,146.670000,-,0.600000,TSQL,100.0,100.0,023,NN,NFM,5.00,,CRRG,,,,
20,R1D4U1,448.625000,-,5.000000,TSQL,100.0,100.0,023,NN,NFM,5.00,,Denver Radio Club,,,,
